"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1652","141",7545924,18,"Undeclared","1",5,3.5,3,5,4.5,2.8,5,2.833333333,3
"1653","142",7545978,19,"Psychology","1",5.5,4.5,6.5,7,3.5,2.533333333,5.5,3.166666667,5
"1654","143",7549541,22,"biochemistry","1",4.5,4,4,6,3.5,2.133333333,4,2.833333333,5
"1655","144",7549873,22,"psychology","1",5,5.5,4.5,5,3,3.466666667,4.5,3.666666667,7
"1656","145",7550161,19,"Undecided","1",7,5.5,4.5,4.5,5,2.733333333,4,3.333333333,2
"1657","146",7550164,23,"Psychology","2",5,6,5,3.5,4,3,5.5,3.5,6
"1658","147",7550231,19,"sociology","1",4.5,5,3.5,4.5,2,2.666666667,6,2.833333333,5
"1659","148",7550265,19,"CHASS Undeclared","1",4.5,5,3.5,5,2.5,3.2,6,3.5,5
"1660","149",7550360,19,"Sociology","1",5.5,6.5,5,5.5,3.5,2.933333333,6,3.5,4
"1661","150",7550359,21,"Psychology","1",6,5.5,2,6.5,4,2.733333333,4.5,2.833333333,3
"1662","151",7550481,18,"Undeclared","1",4.5,7,2.5,4,5,2.466666667,7,2.666666667,5
"1663","152",7550482,22,"Psychology","1",6.5,3.5,3,4.5,4,3.2,6,3.666666667,6
"1664","153",7554124,20,"Undeclared","2",5.5,4,5,4,3.5,3.4,6,NA,5
"1665","154",7554254,18,"Neuroscience","1",6.5,7,6,4.5,4.5,3,6,3.666666667,7
"1666","155",7554259,19,"Sociology Law/Soceity","1",6.5,7,4,4.5,3,3.6,5,3.333333333,4
"1667","156",7556798,19,"theater","1",5,4,6,6.5,1,2.6,6,3.333333333,1
"1668","157",7557203,18,"Psychology","1",5,4,2.5,4.5,5,2.2,5,2.666666667,3
"1669","158",7557222,18,"undeclared CHASS","1",6.5,7,4.5,5.5,4.5,3.333333333,5.5,4,5
"1670","159",7557319,19,"History","1",3.5,3.5,4,4.5,3.5,2.866666667,1,3.666666667,1
"1671","16",7482021,20,"Business Economic","1",4.5,5.5,2.5,5,5.5,2.533333333,6,2.5,6
"1672","160",7557399,19,"Neuroscience","1",6.5,6,2.5,3,4.5,3.6,4,4.333333333,3
"1673","161",7558633,22,"sociology","1",6,6.5,4.5,5,3.5,2.733333333,5,4,5
"1674","162",7558635,18,"psychology","1",4,2,2.5,5,5.5,2.866666667,3.5,3.5,2
"1675","163",7558775,22,"Economics","2",4,5,3.5,4,3.5,2.466666667,4,3.166666667,5
"1676","164",7558776,20,"Psychology","1",5.5,4.5,4,6.5,5.5,3.266666667,6,3.166666667,6
"1677","165",7558904,24,"Economic","1",4.5,5,4,3.5,3.5,2.2,6,3.5,3
"1678","166",7559109,18,"Psychology","1",4.5,5.5,2.5,6,4,2.533333333,2.5,3,5
"1679","167",7559107,18,NA,"1",5,4.5,6,4,3.5,2.4,2,3,5
"1680","168",7559363,-2,"Finance","2",6.5,3.5,7,6.5,2.5,3.466666667,6,4.666666667,6
